Fecha,Pruebas,Incidentes,H,H_UCI,Defunciones,Asint_H_<45,Asint_H_45a64,Asint_H_+65,Sint_H_<45,Sint_H_45a64,Sint_H_+65,Asint_M_<45,Asint_M_45a64,Asint_M_+65,Sint_M_<45,Sint_M_45a64,Sint_M_+65,Asintomaticos
2020-07-21,1637.0,30.0,16.0,1.0,0.0,3.0,1.0,1.0,6.0,2.0,0.0,2.0,0.0,1.0,13.0,2.0,0.0,8.0
2020-07-22,1320.0,75.0,16.0,1.0,0.0,13.0,1.0,0.0,23.0,1.0,0.0,6.0,2.0,0.0,22.0,4.0,0.0,22.0
2020-07-23,1478.0,61.0,16.0,1.0,0.0,12.0,3.0,0.0,23.0,3.0,0.0,8.0,1.0,0.0,17.0,4.0,0.0,24.0
2020-07-24,1427.0,55.0,18.0,2.0,0.0,28.0,0.0,0.0,10.0,1.0,0.0,10.0,1.0,1.0,13.0,3.0,0.0,40.0
2020-07-25,1466.0,66.0,19.0,2.0,0.0,19.0,3.0,0.0,11.0,5.0,0.0,18.0,1.0,1.0,10.0,2.0,1.0,42.0
2020-07-26,1039.0,49.0,25.0,2.0,0.0,9.0,1.0,1.0,12.0,0.0,2.0,5.0,1.0,0.0,10.0,1.0,0.0,17.0
2020-07-27,1087.0,29.0,35.0,1.0,0.0,5.0,1.0,1.0,11.0,3.0,0.0,1.0,0.0,1.0,4.0,4.0,2.0,9.0
2020-07-28,1286.0,50.0,52.0,1.0,0.0,10.0,2.0,0.0,10.0,4.0,0.0,8.0,0.0,1.0,15.0,2.0,0.0,21.0
2020-07-29,1762.0,89.0,56.0,2.0,0.0,18.0,2.0,0.0,33.0,5.0,3.0,8.0,1.0,0.0,21.0,3.0,1.0,29.0
2020-07-30,1771.0,84.0,54.0,1.0,0.0,5.0,2.0,1.0,12.0,5.0,4.0,6.0,1.0,1.0,23.0,4.0,2.0,16.0
2020-07-31,1315.0,52.0,60.0,2.0,0.0,13.0,0.0,0.0,12.0,3.0,2.0,4.0,2.0,0.0,12.0,3.0,2.0,19.0
2020-08-01,1767.0,97.0,60.0,2.0,0.0,13.0,5.0,2.0,16.0,2.0,3.0,10.0,1.0,1.0,12.0,10.0,2.0,32.0
2020-08-02,745.0,49.0,64.0,2.0,0.0,6.0,0.0,2.0,13.0,3.0,0.0,7.0,1.0,0.0,13.0,0.0,0.0,16.0
2020-08-03,966.0,31.0,73.0,5.0,0.0,6.0,0.0,0.0,8.0,4.0,0.0,5.0,0.0,0.0,10.0,3.0,3.0,11.0
2020-08-04,1206.0,90.0,76.0,4.0,0.0,7.0,3.0,2.0,17.0,6.0,3.0,9.0,5.0,0.0,31.0,6.0,4.0,26.0
2020-08-05,1719.0,77.0,72.0,6.0,0.0,6.0,2.0,1.0,18.0,16.0,3.0,4.0,1.0,1.0,16.0,7.0,0.0,15.0
2020-08-06,1703.0,117.0,79.0,8.0,0.0,8.0,1.0,0.0,26.0,3.0,3.0,6.0,5.0,2.0,20.0,7.0,2.0,22.0
2020-08-07,1690.0,86.0,49.0,10.0,0.0,14.0,1.0,2.0,20.0,8.0,0.0,16.0,1.0,2.0,22.0,13.0,4.0,36.0
2020-08-08,1759.0,98.0,58.0,10.0,0.0,11.0,4.0,0.0,18.0,7.0,0.0,9.0,4.0,2.0,13.0,8.0,2.0,30.0
2020-08-09,585.0,44.0,66.0,11.0,0.0,7.0,0.0,0.0,8.0,6.0,0.0,1.0,1.0,0.0,10.0,5.0,3.0,9.0
2020-08-10,1105.0,40.0,63.0,9.0,0.0,7.0,4.0,0.0,8.0,3.0,1.0,1.0,1.0,1.0,9.0,5.0,1.0,14.0
2020-08-11,1903.0,119.0,52.0,10.0,1.0,11.0,6.0,0.0,21.0,22.0,1.0,16.0,2.0,1.0,32.0,7.0,3.0,36.0
